identifier,key_cricinfo,unique_name,name,born,bat_style,bowl_style,field_pos
25f7b7d6,877051,T Banton,Tom Banton,"November 11, 1998, Chiltern, Buckinghamshire",Right hand Bat, ,Wicketkeeper
54e52590,777815,Vijaykumar Vyshak,Vijaykumar Vyshak,"January 31, 1997, Bangalore, Karnataka",Right hand Bat,Right arm Medium, 
aa5d8c9e,1081183,A Tomar,Abhijeet Tomar,"March 14, 1995, Jaipur, Rajasthan",Right hand Bat,Right arm Offbreak, 
012829ff,228622,JW Hastings,John Wayne Hastings,"November 04, 1985, Penrith, New South Wales",Right hand Bat,Right arm Fast medium, 
eea6b7f1,37000,SP Fleming,Stephen Paul Fleming,"April 01, 1973, Christchurch, Canterbury",Left hand Bat, , 
5f547c8b,793463,Rashid Khan,Rashid Khan Arman,"September 20, 1998, Nangarhar",Right hand Bat,Legbreak Googly, 
77b1aa15,1312645,Harshit Rana,Harshit Pradeep Rana,"December 22, 2001, New Delhi",Right hand Bat,Right arm Fast, 
d7c6af50,38710,DL Vettori,Daniel Luca Vettori,"January 27, 1979, Auckland",Left hand Bat,Slow Left arm Orthodox, 
e62dd25d,550215,K Rabada,Kagiso Rabada,"May 25, 1995, Johannesburg",Left hand Bat,Right arm Fast, 
8ac93ca2,500135,P Chopra,Prashant Chopra,"October 07, 1992, Solan, Himachal Pradesh",Right hand Bat,Legbreak Googly,Occasional Wicketkeeper
ffe699c0,288992,CJ Jordan,Christopher James Jordan,"October 04, 1988, Barbados",Right hand Bat,Right arm Fast medium, 
b0f2baf4,1132219,Sanvir Singh,Sanvir Singh,"October 12, 1996, Ludhiana, Punjab",Right hand Bat,Right arm Medium, 
1efb8a28,4498,AC Blizzard,Aiden Craig Blizzard,"June 27, 1984, Shepparton, Victoria",Left hand Bat,Left arm Medium, 
bb18be76,8166,SK Warne,Shane Keith Warne,"September 13, 1969, Ferntree Gully, Victoria",Right hand Bat,Legbreak Googly, 
030f3089,1206495,K Yadav,Kuldip Yadav,"October 15, 1996",Left hand Bat,Left arm Fast medium, 
c03c6200,53115,DJG Sammy,Daren Julius Garvey Sammy,"December 20, 1983, Micoud, St Lucia",Right hand Bat,Right arm Medium, 
f088b960,642525,SN Khan,Sarfaraz Naushad Khan,"October 22, 1997, Mumbai",Right hand Bat,Legbreak, 
6834d1f2,533042,B Stanlake,Billy James Stanlake,"November 04, 1994, Hervey Bay, Australia",Left hand Bat,Right arm Fast, 
c03f1114,30045,KD Karthik,Krishnakumar Dinesh Karthik,"June 01, 1985, Madras (now Chennai), Tamil Nadu",Right hand Bat,Right arm Offbreak,Wicketkeeper
3fb19989,311592,MA Starc,Mitchell Aaron Starc,"January 30, 1990, Baulkham Hills, Sydney, New South Wales",Left hand Bat,Left arm Fast, 
670709ec,29725,SB Joshi,Sunil Bandacharya Joshi,"June 06, 1970, Gadag, Karnataka",Left hand Bat,Slow Left arm Orthodox, 
f846de6a,52983,MN Samuels,Marlon Nathaniel Samuels,"February 05, 1981, Kingston, Jamaica",Right hand Bat,Right arm Offbreak, 
33cb3411,43652,Younis Khan,Mohammad Younis Khan,"November 29, 1977, Mardan, North-West Frontier Province (now Khyber Pakhtunkhwa)",Right hand Bat,"Right arm Medium, Legbreak", 
9a0146b3,34155,P Sahu,Pardeep Sahu,"August 21, 1985, Bhiwani",Right hand Bat,Legbreak Googly, 
60500956,1201520,RV Patel,Ripal Vinubhai Patel,"September 28, 1995, Nadiad",Right hand Bat,Right arm Medium fast, 
f0f628c7,32965,MM Patel,Munaf Musa Patel,"July 12, 1983, Ikhar, Gujarat",Right hand Bat,Right arm Medium fast, 
7050a1e7,328163,DB Das,Debabrata Baidya Das,"September 22, 1986, Siliguri, Bengal",Right hand Bat,Legbreak Googly, 
4885bbe6,1206052,Yudhvir Singh,Yudhvir Singh Charak,"September 13, 1997, Jammu",Right hand Bat,Right arm Medium fast, 
d2d4bb0a,4292,TR Birt,Travis Rodney Birt,"December 09, 1981, Sale, Victoria",Left hand Bat,Right arm Medium,Occasional Wicketkeeper
e4cdf230,1079839,AS Roy,Anukul Sudhakar Roy,"November 30, 1998, Saraikela Kharswan, Jharkhand",Left hand Bat,Slow Left arm Orthodox, 
94eac556,6903,CJ McKay,Clinton James McKay,"February 20, 1983, Melbourne, Victoria",Right hand Bat,Right arm Fast medium, 
75de770f,55805,T Taibu,Tatenda Taibu,"May 14, 1983, Harare",Right hand Bat,Right arm Medium,Wicketkeeper
7c390b03,279460,RA Shaikh,Rahil Akhil Ahmed Shaikh,"June 12, 1985",Left hand Bat,Left arm Medium, 
7dcb9bc9,719719,M Shahrukh Khan,Masood Shahrukh Khan,"May 27, 1995, Chennai, Tamil Nadu",Right hand Bat,Right arm Offbreak, 
85e0cf10,917159,M Prasidh Krishna,Muralikrishna Prasidh Krishna,"February 19, 1996, Bangalore, Karnataka",Right hand Bat,Right arm Fast medium, 
c8179c68,29655,SB Jakati,Shadab Bashir Jakati,"November 27, 1980, Vasco da Gama, Goa",Left hand Bat,Slow Left arm Orthodox, 
be869ccf,643433,GHS Garton,George Henry Simmons Garton,"April 15, 1997, Brighton, Sussex",Left hand Bat,Left arm Fast, 
fe11caa6,279810,WP Saha,Wriddhiman Prasanta Saha,"October 24, 1984, Shaktigarh, Siliguri, Bengal, India",Right hand Bat, ,Wicketkeeper
16605a1b,422106,AA Kazi,Abrar Anjum Kazi,"September 29, 1989, Bangalore, Karnataka",Left hand Bat,Slow Left arm Orthodox, 
14f96089,379504,A Zampa,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",Right hand Bat,Legbreak Googly, 
3d8feaf8,272450,MR Marsh,Mitchell Ross Marsh,"October 20, 1991, Attadale, Perth",Right hand Bat,Right arm Medium, 
0404d43c,536936,Liton Das,Litton Kumer Das,"October 13, 1994, Dinajpur",Right hand Bat,Right arm Offbreak,Wicketkeeper
ada15e88,334337,PSP Handscomb,Peter Stephen Patrick Handscomb,"April 26, 1991, Melbourne, Victoria",Right hand Bat, ,Wicketkeeper
d2a989fc,277955,DS Kulkarni,Dhawal Sunil Kulkarni,"December 10, 1988, Bombay (now Mumbai), Maharashtra",Right hand Bat,Right arm Medium, 
c3c92b42,1175429,RS Hangargekar,Rajvardhan S Hangargekar,"November 10, 2002, Tuljapur, Maharashtra",Right hand Bat,Right arm Fast medium, 
dec8e038,223642,J Theron,Juan Theron,"July 24, 1985, Potchefstroom",Right hand Bat,Right arm Medium fast, 
0bf15e52,422847,Harmeet Singh (2),Harmeet Singh,"September 07, 1992, Mumbai",Left hand Bat,Slow Left arm Orthodox, 
dcce6f09,219889,DA Warner,David Andrew Warner,"October 27, 1986, Paddington, New South Wales",Left hand Bat,Legbreak, 
d9273ee7,325012,MP Stoinis,Marcus Peter Stoinis,"August 16, 1989, Perth",Right hand Bat,Right arm Medium, 
e798611a,43906,HM Amla,Hashim Mahomed Amla,"March 31, 1983, Durban, Natal",Right hand Bat,"Right arm Medium, Right arm Offbreak", 
aaa1b522,34281,TL Suman,Tirumalasetti Laxminarayana Suman,"December 15, 1983, Hyderabad, Andhra Pradesh",Right hand Bat,Right arm Offbreak, 
740742ef,34102,RG Sharma,Rohit Gurunath Sharma,"April 30, 1987, Bansod, Nagpur, Maharashtra",Right hand Bat,Right arm Offbreak, 
1c2a64cd,389605,A Ashish Reddy,Ammana Ashish Reddy,"February 24, 1991, Secunderabad",Right hand Bat,Right arm Medium, 
3d7e087f,35353,SK Trivedi,Siddharth Kishorkumar Trivedi,"September 04, 1982, Ahmedabad, Gujarat",Right hand Bat,Right arm Medium, 
287686fd,32084,S Narwal,Sumit Narwal,"April 16, 1982, Chirao, Karnal, Haryana",Left hand Bat,Right arm Medium, 
5451a2c1,27685,B Chipli,Bharat Chipli,"January 27, 1983, Sagar, Shivmoga, Karantaka",Right hand Bat,Right arm Medium, 
39a2dfa8,423838,R Tewatia,Rahul Tewatia,"May 20, 1993, Sihi, Haryana",Left hand Bat,Legbreak, 
facb9086,337916,SD Chitnis,Siddharth Dilip Chitnis,"May 06, 1987, Bombay (now Mumbai), Maharashtra",Right hand Bat,Right arm Offbreak, 
c5aef772,677077,R Shepherd,Romario Shepherd,"November 26, 1994, Guyana",Right hand Bat,Right arm Fast medium, 
bcce309e,50804,WPUJC Vaas,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,"January 27, 1974, Mattumagala",Left hand Bat,Left arm Fast medium, 
0af3426f,279862,SS Mundhe,Shrikant Shrihari Mundhe,"October 27, 1988, Nanded",Right hand Bat,Right arm Medium, 
30e37810,35282,Sunny Singh,Sunny Singh,"December 18, 1986, Bhiwani",Right hand Bat,Right arm Medium fast, 
ee3dfa89,271315,Sunny Gupta,Sunny Gupta,"September 27, 1988, Jamshedpur, Bihar",Right hand Bat,Right arm Offbreak, 
13c35c9e,232364,TG Southee,Timothy Grant Southee,"December 11, 1988, Whangarei, Northland",Right hand Bat,Right arm Medium fast, 
ea0cdc12,268739,BAW Mendis,Balapuwaduge Ajantha Winslow Mendis,"March 11, 1985, Moratuwa",Right hand Bat,Right arm Offbreak, 
2e11c706,230371,BCJ Cutting,Benjamin Colin James Cutting,"January 30, 1987, Sunnybank, Brisbane, Queensland",Right hand Bat,Right arm Fast medium, 
b56dc5f7,379927,BE Hendricks,Beuran Eric Hendricks,"June 08, 1990, Louis Leipoldt Hospital, Bellville, Cape Town",Left hand Bat,Left arm Fast medium, 
0264c10e,278482,D Salunkhe,Dinesh Salunkhe,"November 12, 1982, Mumbai",Right hand Bat,Legbreak, 
ae091d39,26782,SA Asnodkar,Swapnil Ashok Asnodkar,"March 29, 1984, Porvorim, Goa, India",Right hand Bat,Right arm Offbreak, 
b9be6507,36110,AS Yadav,Arjun Shivlal Yadav,"December 23, 1981, Palghat (now Palakkad), Kerala",Right hand Bat,Right arm Offbreak, 
d84378a4,29990,M Kaif,Mohammad Kaif,"December 01, 1980, Allahabad, Uttar Pradesh",Right hand Bat,Right arm Offbreak, 
0bacade8,974087,Rahmanullah Gurbaz,Rahmanullah Gurbaz,"November 28, 2001",Right hand Bat, ,Wicketkeeper
034b4b7d,35281,VRV Singh,Vikram Raj Vir Singh,"September 17, 1984, Chandigarh, Punjab, India",Right hand Bat,Right arm Medium fast, 
39086549,1124282,JR Philippe,Joshua Ryan Philippe,"June 01, 1997",Right hand Bat, ,Wicketkeeper
44aac2f0,1148776,Arjun Tendulkar,Arjun Sachin Tendulkar,"September 24, 1999, Mumbai",Left hand Bat,Left arm Medium fast, 
1399b39c,851261,Anmolpreet Singh,Anmolpreet Singh,"March 28, 1998, Patiala, Punjab",Right hand Bat,Right arm Offbreak, 
77255a9e,446763,RA Tripathi,Rahul Ajay Tripathi,"March 02, 1991, Ranchi",Right hand Bat,Right arm Medium, 
c18496e1,35928,Bipul Sharma,Bipul Sharma,"September 28, 1983, Amritsar, Punjab",Left hand Bat,Slow Left arm Orthodox, 
b69e69ed,6938,AA Noffke,Ashley Allan Noffke,"April 30, 1977, Nambour, Queensland",Right hand Bat,Right arm Fast medium, 
d872f52a,4541,LA Carseldine,Lee Andrew Carseldine,"November 17, 1975, Nambour, Queensland",Left hand Bat,Left arm Medium, 
2728e7e9,28160,P Dogra,Paras Dogra,"November 19, 1984, Palampur, Himachal Pradesh",Right hand Bat,Legbreak, 
e0407c01,447439,IC Pandey,Ishwar Chand Pandey,"August 15, 1989, Rewa, Madhya Pradesh",Right hand Bat,Right arm Medium, 
5748e866,7252,TD Paine,Timothy David Paine,"December 08, 1984, Hobart, Tasmania",Right hand Bat,Right arm Medium,Wicketkeeper
1a2676c5,398666,SA Abbott,Sean Anthony Abbott,"February 29, 1992, Windsor, New South Wales",Right hand Bat,Right arm Fast medium, 
244048f6,1125976,Arshdeep Singh,Arshdeep Singh,"February 05, 1999, Guna, Madhya Pradesh",Left hand Bat,Left arm Medium fast, 
4a8a2e3b,28081,MS Dhoni,Mahendra Singh Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",Right hand Bat,Right arm Medium,Wicketkeeper
f3171936,5941,BW Hilfenhaus,Benjamin William Hilfenhaus,"March 15, 1983, Ulverstone, Tasmania",Right hand Bat,Right arm Fast medium, 
ff077124,41028,Kamran Akmal,Kamran Akmal,"January 13, 1982, Lahore, Punjab",Right hand Bat, ,Wicketkeeper
c3d1402f,35280,RP Singh,Rudra Pratap Singh,"December 06, 1985, Rae Bareli, Uttar Pradesh",Right hand Bat,Left arm Fast medium, 
1abb78f8,475281,SN Thakur,Shardul Narendra Thakur,"October 16, 1991, Palghar, Maharashtra",Right hand Bat,Right arm Medium, 
4d5a1617,236766,R Bishnoi,Rajesh Bishnoi,"October 08, 1987, Bikaner",Right hand Bat,Right arm Medium fast, 
c69a7b5c,230593,AS Raut,Abhishek Santosh Raut,"March 03, 1987, Jaipur Road, Maharashtra",Right hand Bat,Legbreak Googly, 
bae11797,28830,Y Gnaneswara Rao,Yalaka Gnaneswara Rao,"August 25, 1984, Visakhapatnam, Andhra Pradesh",Right hand Bat,Right arm Medium, 
2ed569a0,1064812,RD Chahar,Rahul Desraj Chahar,"August 04, 1999, Bharaatpur, Rajasthan",Right hand Bat,Legbreak Googly, 
21ac077a,27572,RR Bose,Ranadeb Ranjit Bose,"February 27, 1979, Calcutta (now Kolkata), Bengal",Right hand Bat,Right arm Fast medium, 
529eb9e0,906783,OC McCoy,Obed  Christopher McCoy,"January 04, 1997",Left hand Bat,Left arm Fast medium, 
ee7d0c82,6565,GD McGrath,Glenn Donald McGrath,"February 09, 1970, Dubbo, New South Wales",Right hand Bat,Right arm Fast medium, 
4933f499,272477,JP Behrendorff,Jason Paul Behrendorff,"April 20, 1990, Camden, New South Wales",Right hand Bat,Left arm Fast medium, 
2b6e6dec,5390,AC Gilchrist,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",Left hand Bat,Right arm Offbreak,Wicketkeeper
5d9a1a73,272994,R Sharma,Rahul Sharma,"November 30, 1986, Jalandhar",Right hand Bat,Legbreak Googly, 
cedc1d9a,431213,P Suyal,Pawan Shakland Suyal,"October 15, 1989, Paudi, Uttaranchal",Right hand Bat,Left arm Medium, 
531f0278,314622,K Santokie,Krishmar Santokie,"December 20, 1984, Clarendon, Jamaica",Left hand Bat,Left arm Medium, 
9d80c5e1,31872,S Nadeem,Shahbaz Nadeem,"August 12, 1989, Bokaro, Bihar",Right hand Bat,Slow Left arm Orthodox, 
ad9c32a2,236489,DJ Malan,Dawid Johannes Malan,"September 03, 1987, Roehampton, England",Left hand Bat,Legbreak, 
2e9fdf9b,362541,DAJ Bracewell,Douglas Andrew John Bracewell,"September 28, 1990, Tauranga, Bay of Plenty",Right hand Bat,Right arm Fast medium, 
d68e7f48,52912,R Rampaul,Ravindranath Rampaul,"October 15, 1984, Preysal, Trinidad",Left hand Bat,Right arm Fast medium, 
11df3dc8,16406,MJ Lumb,Michael John Lumb,"February 12, 1980, Johannesburg, Transvaal, South Africa",Left hand Bat,Right arm Medium, 
798934ea,28764,C Ganapathy,Chandrasekar Ganapathy,"June 10, 1981",Right hand Bat,Right arm Medium, 
a3ecf01f,34078,RS Sodhi,Reetinder Singh Sodhi,"October 18, 1980, Patiala, Punjab",Right hand Bat,Right arm Medium, 
ed5a5510,777515,P Dubey,Praveen Dubey,"July 01, 1993, Azamgarh, Uttar Pradesh",Right hand Bat,Legbreak Googly, 
bff458c6,26946,AA Bilakhia,Azharuddin Anjum Bilakhia,"May 31, 1986, Mohwa, Bhavnagar, Gujarat",Right hand Bat,Right arm Medium, 
92aeac25,249866,AD Hales,Alexander Daniel Hales,"January 03, 1989, Hillingdon, Middlesex",Right hand Bat,Right arm Medium,Occasional Wicketkeeper
c6097d68,914567,O Thomas,Oshane Romaine Thomas,"February 18, 1997",Left hand Bat,Right arm Fast, 
e249fdaa,27639,A Chopra,Aakash Chopra,"September 19, 1977, Agra, Uttar Pradesh",Right hand Bat,"Right arm Medium, Right arm Offbreak", 
93b4fc78,290630,MK Pandey,Manish Krishnanand Pandey,"September 10, 1989, Nainital, Uttaranchal",Right hand Bat,Right arm Medium, 
86ae8ef2,240734,MB Parmar,Mohnish Bipinbhai Parmar,"April 12, 1988, Gandhinagar, Gujarat",Right hand Bat,Right arm Offbreak, 
0ebfb1ad,431901,E Lewis,Evin Lewis,"December 27, 1991, Port of Spain, Trinidad",Left hand Bat, , 
2cffab74,926851,Mukesh Kumar,Mukesh Kumar,"October 12, 1993, Gopalganj, Bihar",Right hand Bat,Right arm Medium, 
ab89348d,49638,MF Maharoof,Mohamed Farveez Maharoof,"September 07, 1984, Colombo",Right hand Bat,Right arm Fast medium, 
cca50cd6,23460,LJ Wright,Luke James Wright,"March 07, 1985, Grantham, Lincolnshire",Right hand Bat,Right arm Medium, 
70d205c9,33141,AT Rayudu,Ambati Thirupathi Rayudu,"September 23, 1985, Guntur, Andhra Pradesh",Right hand Bat,Right arm Offbreak,Occasional Wicketkeeper
626c5379,33870,R Sathish,Rajagopal Sathish,"January 14, 1981, Trichy (now Tiruchchirappali), Tamil Nadu",Right hand Bat,Right arm Medium, 
26a85969,290727,R Dhawan,Rishi Dhawan,"February 19, 1990, Mandi, Himachal Pradesh",Right hand Bat,Right arm Medium fast, 
27af6414,7547,BJ Rohrer,Ben James Rohrer,"March 26, 1981, Bankstown, New South Wales",Left hand Bat, ,Occasional Wicketkeeper
0184dc35,28114,R Dravid,Rahul Sharad Dravid,"January 11, 1973, Indore, Madhya Pradesh",Right hand Bat,Right arm Offbreak,Occasional Wicketkeeper
8fd1a8f5,47492,DW Steyn,Dale Willem Steyn,"June 27, 1983, Phalaborwa",Right hand Bat,Right arm Fast, 
a1d053dd,495551,SS Cottrell,Sheldon Shane Cottrell,"August 19, 1989, Jamaica",Right hand Bat,Left arm Fast medium, 
c33d8116,1132005,Mohsin Khan (2),Mohsin Khan,"July 15, 1998, Sambhal, Uttar Pradesh",Left hand Bat,Left arm Medium fast, 
64775749,961713,RP Meredith,Riley Patrick Meredith,"June 21, 1996, Hobart, Tasmania",Right hand Bat,Right arm Fast, 
7eae4418,41378,Misbah-ul-Haq,Misbah-ul-Haq Khan Niazi,"May 28, 1974, Mianwali, Punjab",Right hand Bat,Legbreak, 
f842c2cf,4578,MJ Clarke,Michael John Clarke,"April 02, 1981, Liverpool, New South Wales",Right hand Bat,Slow Left arm Orthodox, 
f24ca2ba,32093,C Nanda,Chetanya Nanda,"March 29, 1979, Delhi",Right hand Bat,Legbreak, 
dc4686e6,433410,BA Bhatt,Bhargav Ashok Bhatt,"May 13, 1990, Vadodara, Gujarat",Left hand Bat,Slow Left arm Orthodox, 
e1d1b294,45224,HH Gibbs,Herschelle Herman Gibbs,"February 23, 1974, Green Point, Cape Town, Cape Province",Right hand Bat,Right arm Bowler, 
72861603,47270,GC Smith,Graeme Craig Smith,"February 01, 1981, Johannesburg, Transvaal",Left hand Bat,Right arm Offbreak, 
30a2649b,302208,CM Gautam,Chidhambaram Muralidharen Gautam,"March 08, 1986, Bangalore, Karnataka",Right hand Bat, ,Wicketkeeper
d027ba9f,277906,KS Williamson,Kane Stuart Williamson,"August 08, 1990, Tauranga",Right hand Bat,Right arm Offbreak, 
650d5e49,820351,R Powell,Rovman Powell,"July 23, 1993, Jamaica",Right hand Bat,Right arm Medium fast, 
bbd41817,276298,AD Russell,Andre Dwayne Russell,"April 29, 1988, Jamaica",Right hand Bat,Right arm Fast, 
8e514b4c,1175485,Abdul Samad,Abdul Samad Farooq,"October 28, 2001, Kala Kot, Jammu & Kashmir",Right hand Bat,Legbreak, 
f1f99156,892749,TH David,Timothy Hays David,"March 16, 1996, Singapore",Right hand Bat,Right arm Offbreak, 
b1451597,34019,LR Shukla,Laxmi Ratan Shukla,"May 06, 1981, Howrah (now Haora), Bengal",Right hand Bat,Right arm Medium, 
0f721006,391485,JO Holder,Jason Omar Holder,"November 05, 1991, Barbados",Right hand Bat,Right arm Medium fast, 
260fd380,34264,AM Salvi,Aavishkar Madhav Salvi,"October 20, 1981, Bombay (now Mumbai), Maharashtra",Right hand Bat,Right arm Medium, 
7bf96684,20123,OA Shah,Owais Alam Shah,"October 22, 1978, Karachi, Sind, Pakistan",Right hand Bat,Right arm Offbreak, 
2a2e6343,4864,DT Christian,Daniel Trevor Christian,"May 04, 1983, Camperdown, Sydney, New South Wales",Right hand Bat,Right arm Fast medium, 
9170ff49,378496,Parvez Rasool,Parvez Ghulam Rasool Zargar,"February 13, 1989, Bijbehara, Jammu and Kashmir",Right hand Bat,Right arm Offbreak, 
f4cb4f53,31750,AP Majumdar,Anustup Prabir Majumdar,"April 30, 1984, Chandannagore, Hooghly, Bengal, India",Right hand Bat,Legbreak Googly, 
bb345e0b,28763,G Gambhir,Gautam Gambhir,"October 14, 1981, Delhi",Left hand Bat,Legbreak, 
26e5cabf,35565,MK Tiwary,Manoj Kumar Tiwary,"November 14, 1985, Howrah, Bengal",Right hand Bat,Legbreak Googly, 
1e66c162,390484,JD Unadkat,Jaydev Dipakbhai Unadkat,"October 18, 1991, Porbandar",Right hand Bat,Left arm Medium, 
c7a995d3,1048739,R Sai Kishore,Ravisrinivasan Sai Kishore,"November 06, 1996, Chennai, Tamil Nadu",Left hand Bat,Slow Left arm Orthodox, 
d2340a43,26797,Anand Rajan,Anand Rajan,"April 17, 1987, Nagpur, Maharashtra",Right hand Bat,Right arm Medium, 
d718440b,528967,V Pratap Singh,Veer Pratap Singh,"May 03, 1992, Nalanda, Bihar",Right hand Bat,Right arm Medium, 
4e04666c,35357,YV Takawale,Yogesh Vijay Takawale,"November 05, 1984, Pune, Maharashtra",Right hand Bat, ,Wicketkeeper
50c6bc2b,403902,LS Livingstone,Liam Stephen Livingstone,"August 04, 1993, Barrow-in-Furness, Cumberland",Right hand Bat,"Right arm Offbreak, Legbreak", 
c03e2850,532856,M Vohra,Manan Vohra,"July 18, 1993, Chandigarh, Punjab",Right hand Bat,Right arm Medium, 
b63e358a,642531,RK Bhui,Ricky Kannakumar Bhui,"September 29, 1996, Bhopal, Madhya Pradesh",Right hand Bat,Legbreak Googly, 
7d92277a,974109,Mujeeb Ur Rahman,Mujeeb Ur Rahman,"March 28, 2001, Khost",Right hand Bat,Right arm Offbreak, 
ba6b2f91,1292502,RA Bawa,Raj Angad Bawa,"November 12, 2002, Nahan, Himachal Pradesh",Left hand Bat,Right arm Medium fast, 
dce2019b,44410,F Behardien,Farhaan Behardien,"October 09, 1983, Johannesburg",Right hand Bat,Right arm Fast medium, 
e4a0deae,502714,MJ Santner,Mitchell Josef Santner,"February 05, 1992, Hamilton",Left hand Bat,Slow Left arm Orthodox, 
2503e881,46569,A Nel,Andre Nel,"July 15, 1977, Germiston, Transvaal",Right hand Bat,Right arm Fast medium, 
9a963804,19264,LE Plunkett,Liam Edward Plunkett,"April 06, 1985, Middlesbrough, Yorkshire",Right hand Bat,Right arm Fast, 
6a26221c,600498,AK Markram,Aiden Kyle Markram,"October 04, 1994, Centurion",Right hand Bat,Right arm Offbreak, 
b822e99c,853259,NB Singh,Nathu Bharat Singh,"September 08, 1995, Jaipur",Right hand Bat,Right arm Medium, 
bd77eb62,7702,A Symonds,Andrew Symonds,"June 09, 1975, Birmingham, Warwickshire, England",Right hand Bat,"Right arm Medium, Right arm Offbreak", 
342d8ade,48835,CRD Fernando,Congenige Randhi Dilhara Fernando,"July 19, 1979, Colombo",Right hand Bat,Right arm Fast medium, 
cc1e8c68,376116,UT Yadav,Umeshkumar Tilak Yadav,"October 25, 1987, Nagpur, Maharashtra",Right hand Bat,Right arm Fast, 
0a67aec0,1176959,Akash Deep,Akash Deep,"December 15, 1996, Dehri, (Rotas), Bihar",Right hand Bat,Right arm Fast medium, 
5673a3fc,37749,NL McCullum,Nathan Leslie McCullum,"September 01, 1980, Dunedin, Otago",Right hand Bat,Right arm Offbreak, 
fe93fd9d,234675,RA Jadeja,Ravindrasinh Anirudhsinh Jadeja,"December 06, 1988, Navagam-Khed, Saurashtra",Left hand Bat,Slow Left arm Orthodox, 
a316d663,375126,GC Viljoen,GC Viljoen,"March 06, 1989, Witbank",Right hand Bat,Right arm Fast, 
4c5d73db,247235,CR Woakes,Christopher Roger Woakes,"March 02, 1989, Birmingham, Warwickshire",Right hand Bat,Right arm Fast medium, 
0c9652b0,1175423,HR Shokeen,Hrithik Rakesh Shokeen,"August 14, 2000, Delhi",Right hand Bat,Right arm Offbreak, 
33a364a6,26907,R Bhatia,Rajat Bhatia,"October 22, 1979, Delhi",Right hand Bat,Right arm Medium fast, 
ce4cc4d5,353669,R Ninan,Ryan Ninan,"November 19, 1985, Thiruvananthapuram",Right hand Bat,Right arm Offbreak, 
2a72fd4f,391128,Harmeet Singh,Harmeet Singh Bansal,"October 09, 1987, Jodhpur, Rajasthan",Right hand Bat,Right arm Medium, 
addbde6c,274785,N Saini,Nitin Saini,"October 28, 1988, Rohtak",Right hand Bat, ,Wicketkeeper
44a89551,529436,KS Bharat,Kona Srikar Bharat,"October 03, 1993, Visakhapatnam, Andhra Pradesh",Right hand Bat, ,Wicketkeeper
1ac746c8,1125958,Atharva Taide,Atharva Taide,"April 26, 2000, Akola Maharashtra",Left hand Bat,Slow Left arm Orthodox, 
1b7b0fa7,1252370,Vivrant Sharma,Vivrant Sharma,"October 30, 1999, Jammu, India",Left hand Bat,Legbreak Googly, 
7210d461,1159720,Yash Dayal,Yash Dayal,"December 13, 1997, Allahabad, Uttar Pradesh",Right hand Bat,Left arm Medium fast, 
1647bd37,322535,Karanveer Singh,Karanveer Singh,"November 08, 1987, Chandigarh, Punjab",Right hand Bat,Legbreak Googly, 
b0482a1d,1170265,Tilak Varma,Namboori Thakur Tilak Varma,"November 08, 2002, Hyderabad, Andhra Pradesh",Left hand Bat,Right arm Offbreak, 
