session_id,player_name,date,balls_faced_played,wickets_lost_taken,bowling_speed_tracked,line_length_accuracy_pct
S_1703,IK Pathan,2024-03-10,82,0,149.80010812075886,86.33497169154504
S_4828,IK Pathan,2024-03-17,50,0,,82.76790767271005
S_2667,T Kohli,2024-01-19,89,1,143.93440946575905,75.24541601845266
S_6450,T Kohli,2024-01-01,73,0,,82.05730619152004
S_5806,YK Pathan,2024-01-15,40,2,,75.70427679178857
S_9927,YK Pathan,2024-02-04,63,1,125.05333155428158,82.49015891315163
S_3989,SR Watson,2024-01-09,22,4,135.57245355408654,76.77136571704058
S_2177,SR Watson,2024-01-25,31,4,,80.30603292295663
S_9234,M Kaif,2024-02-17,89,1,135.63702397456004,88.78376965859704
S_5431,M Kaif,2024-02-16,34,0,131.40223526811616,66.90039443005071
S_1140,M Kaif,2024-03-26,38,1,,81.60731150945409
S_9564,M Kaif,2024-02-21,46,4,136.17483830025765,70.89576947046012
S_7787,DS Lehmann,2024-03-30,94,3,,78.38071842834711
S_4654,DS Lehmann,2024-03-03,75,0,127.69688351104091,93.70244063331529
S_2798,DS Lehmann,2024-02-23,20,3,,82.16029814579079
S_7284,DS Lehmann,2024-01-22,40,3,,67.42156939678793
S_6752,RA Jadeja,2024-02-11,91,0,,87.31839303353516
S_7807,RA Jadeja,2024-01-19,79,1,142.99968405601217,65.23963887849352
S_1482,M Rawat,2024-04-07,52,4,,60.82735051162177
S_1987,M Rawat,2024-03-11,51,2,,73.68170985669302
S_7652,M Rawat,2024-02-26,44,1,,80.89664209134921
S_7780,D Salunkhe,2024-02-08,60,0,,71.93815085659772
S_3349,D Salunkhe,2024-01-19,87,1,,91.69336773153859
S_6101,SK Warne,2024-02-05,55,2,,72.84346277216802
S_3472,SK Trivedi,2024-03-08,32,0,140.08807848401887,62.4476061998302
S_5255,SK Trivedi,2024-01-21,27,1,126.92487567462037,75.9900525708129
S_6249,G Gambhir,2024-03-27,63,1,,94.841817174649
S_5211,G Gambhir,2024-01-08,41,3,,93.65830075841846
S_4374,V Sehwag,2024-02-24,99,1,,75.76298276903648
S_4083,S Dhawan,2024-01-17,35,3,134.24659630518656,73.38841980854029
S_8446,S Dhawan,2024-04-01,24,3,136.19871390841678,89.47116530317474
S_1148,S Dhawan,2024-03-24,89,1,145.94058576100622,81.2970244430927
S_3785,S Dhawan,2024-01-14,55,0,,71.95860756639223
S_1340,L Ronchi,2024-01-02,92,0,,73.89435309759992
S_2689,ST Jayasuriya,2024-03-08,74,2,137.237621469533,79.83013767599965
S_9435,ST Jayasuriya,2024-01-12,68,1,138.83850158317907,83.6006332243167
S_8629,ST Jayasuriya,2024-01-06,86,3,129.67583933539245,60.801283874164206
S_5225,DJ Thornely,2024-02-04,97,3,147.98192221428764,80.13071726738187
S_5259,DJ Thornely,2024-04-04,33,0,142.94429402708985,66.11935195411444
S_3530,DJ Thornely,2024-02-10,25,0,123.65285733375825,76.73819080668252
S_1536,RV Uthappa,2024-03-19,87,4,148.9746648345966,75.13742574155462
S_9734,RV Uthappa,2024-03-18,39,1,,89.80070231429428
S_3719,RV Uthappa,2024-04-02,62,1,124.56074559385944,62.147236948873385
S_7488,RV Uthappa,2024-01-02,30,1,,84.32623301004936
S_6078,PR Shah,2024-03-23,28,2,,87.39436142604522
S_7406,AM Nayar,2024-03-20,35,3,138.99568878040392,68.01131116963148
S_2382,AM Nayar,2024-02-21,71,3,132.78250151671114,64.57486318590698
S_8870,SM Pollock,2024-03-02,26,2,,88.9638263448406
S_7140,SM Pollock,2024-03-26,24,1,,74.65032175683774
S_5837,SM Pollock,2024-03-19,40,1,125.69084544524031,81.66318675527026
S_7356,SM Pollock,2024-03-30,72,1,,61.492162325046145
S_5592,Harbhajan Singh,2024-02-29,30,4,122.94247742352734,77.08843979576224
S_9737,S Chanderpaul,2024-02-21,71,4,,87.475579034297
S_3672,S Chanderpaul,2024-03-04,36,0,144.26650384908984,62.6745900803318
S_8177,S Chanderpaul,2024-02-27,79,4,134.86356310382945,73.52221184469104
S_7869,S Chanderpaul,2024-03-12,68,0,,78.14428076808214
S_8083,LRPL Taylor,2024-03-05,27,4,,86.11725401186435
S_4456,LRPL Taylor,2024-02-20,43,2,,93.4775489404818
S_7420,LRPL Taylor,2024-02-27,50,3,,87.11287359134137
S_9754,AC Gilchrist,2024-02-27,24,4,142.9311798666521,69.27662499137514
S_7511,AC Gilchrist,2024-04-01,27,0,140.02051194139284,60.36496947890911
S_2827,AC Gilchrist,2024-03-08,97,0,135.90906399747476,61.468292820107266
S_3196,Y Venugopal Rao,2024-02-05,31,2,138.05644768908965,80.38479303725363
S_4983,Y Venugopal Rao,2024-02-01,51,3,,61.530746905798935
S_8569,VVS Laxman,2024-02-24,92,0,,79.25321791603545
S_8128,A Symonds,2024-01-22,49,3,,66.9114671450978
S_1685,A Symonds,2024-01-21,51,0,,79.04058027139631
S_8165,RG Sharma,2024-01-21,27,3,,71.20209413823443
S_5330,SB Styris,2024-03-29,41,3,,65.7685185505303
S_5558,SB Styris,2024-02-21,46,1,,77.70484425331401
S_9652,AS Yadav,2024-01-22,62,4,135.2508164074884,70.41419579615872
S_3066,AS Yadav,2024-01-23,48,3,142.83364611129474,65.60250722341006
S_9553,AS Yadav,2024-02-27,35,0,146.44352339025065,69.72657340371038
S_6343,AS Yadav,2024-03-04,29,4,138.47956350780538,66.58086571153956
S_3159,SB Bangar,2024-01-13,28,3,145.44143373392316,89.39873930987639
S_2037,WPUJC Vaas,2024-02-03,72,0,142.68793973674357,89.46896300238481
S_6189,WPUJC Vaas,2024-02-25,77,3,,82.51778129691246
S_2929,WPUJC Vaas,2024-01-24,45,4,120.05639650574732,66.24304045075654
S_6891,WPUJC Vaas,2024-02-29,76,4,,80.58707934319366
S_4292,RP Singh,2024-01-14,22,4,136.8445376387857,79.62310330456599
S_1161,RP Singh,2024-01-30,38,3,134.9476704679036,62.69703976970159
S_1663,RP Singh,2024-03-16,49,1,143.6584489401722,78.10441697545633
S_9623,RP Singh,2024-02-14,74,0,,63.101015038786606
S_2136,WP Saha,2024-04-01,66,2,128.9833053147566,66.0718025993085
S_2283,WP Saha,2024-01-20,66,2,149.7337929546391,86.15268557097131
S_4471,WP Saha,2024-03-09,80,1,,60.91688479862227
S_7397,WP Saha,2024-03-10,70,4,,89.8454806956499
S_8999,LR Shukla,2024-02-06,68,4,,76.90391052298743
S_4331,LR Shukla,2024-02-08,54,0,120.21087611440858,62.00480878771682
S_8531,DPMD Jayawardene,2024-02-29,76,3,148.69843863250372,62.41353057247474
S_5713,DPMD Jayawardene,2024-01-30,26,2,,87.54943109105614
S_3014,S Sohal,2024-03-29,96,3,,89.85813681912776
S_3643,S Sohal,2024-03-22,76,4,132.3328680780212,72.15701641905949
S_1671,B Lee,2024-03-15,39,4,,74.65776616759565
S_7285,B Lee,2024-02-26,56,1,124.34895217139452,85.38045046428903
S_9100,B Lee,2024-03-28,68,2,,93.1462595708553
S_7588,PP Chawla,2024-02-10,52,1,132.53969801611453,63.10940857806475
S_1597,PP Chawla,2024-02-02,43,4,,74.13922567142919
S_3090,PP Chawla,2024-02-10,58,0,122.45176037240334,76.04052245350297
S_4648,PP Chawla,2024-03-14,24,1,126.48271359555923,63.414687858375494
S_4750,WA Mota,2024-03-26,95,3,,94.2321636290735
S_2854,WA Mota,2024-02-18,83,4,,71.55752727050242
S_6774,WA Mota,2024-03-25,98,3,127.16388634144617,75.79337704633458
S_3105,WA Mota,2024-01-28,45,0,,62.28216069411722
S_4970,Kamran Akmal,2024-03-12,63,0,,87.9420465878515
S_7744,Kamran Akmal,2024-02-19,62,2,,66.84632455655803
S_1007,Shahid Afridi,2024-01-24,60,3,,70.93221856599297
S_6000,Shahid Afridi,2024-02-16,34,1,,84.35646913590809
S_3822,Shahid Afridi,2024-03-20,22,4,128.30713462133426,94.42325154503277
S_4200,Shahid Afridi,2024-01-08,51,3,129.39485984451846,87.9507645333963
S_6906,DJ Bravo,2024-02-01,28,3,129.59000497321634,94.59455962942268
S_6108,DJ Bravo,2024-01-21,49,4,,94.89773549785815
S_9438,MA Khote,2024-01-27,88,0,,61.02774556858373
S_8833,MA Khote,2024-01-05,80,3,144.5719054158497,78.92778142449406
S_8544,A Nehra,2024-01-11,85,3,,72.52293928639047
S_1587,A Nehra,2024-04-01,49,1,,63.95301229439107
S_9381,A Nehra,2024-02-02,54,3,142.1901390218029,66.69411462701053
S_8096,GC Smith,2024-01-23,67,0,134.13861502194493,94.2686728305304
S_9915,GC Smith,2024-01-16,53,1,,60.13359969435215
S_2958,GC Smith,2024-03-10,92,3,,89.2964393835029
S_9831,Pankaj Singh,2024-03-03,86,3,126.46589606373996,72.61322369756216
S_5628,Pankaj Singh,2024-04-08,76,4,,86.5737056571295
S_7115,Pankaj Singh,2024-03-16,36,0,139.94954710427987,69.11004001481011
S_5741,RR Sarwan,2024-03-31,42,2,,75.64694403322488
S_1141,S Sreesanth,2024-04-09,91,2,,88.08240152057425
S_6626,S Sreesanth,2024-03-24,44,1,123.82361878268607,84.76909142157166
S_3946,VRV Singh,2024-02-11,38,0,149.45396079781884,81.74705740387353
S_2531,VRV Singh,2024-01-19,66,3,,84.62900921112785
S_3723,SS Tiwary,2024-02-09,49,0,,76.4068787912577
S_2762,DS Kulkarni,2024-02-28,97,0,,91.60132483171955
S_8804,R Vinay Kumar,2024-03-26,60,4,128.5587101507195,75.0213907688725
S_1778,R Vinay Kumar,2024-03-04,69,4,121.90922727859927,89.09807300349985
S_8851,R Vinay Kumar,2024-02-02,92,4,,90.3993027212101
S_5577,R Vinay Kumar,2024-03-28,84,4,122.46621191135345,91.87368028022988
S_1526,AB Agarkar,2024-01-19,45,3,,81.2481352551564
S_8986,AB Agarkar,2024-02-07,39,0,127.1230040512442,77.93273221410267
S_1771,M Kartik,2024-01-22,95,4,127.88026927795956,69.5049067662864
S_3394,M Kartik,2024-02-24,20,0,,61.39180877459994
S_9921,M Kartik,2024-01-27,27,2,,94.00364418153677
S_3800,M Kartik,2024-04-08,59,2,,76.60009471509412
S_7796,I Sharma,2024-03-01,68,0,,61.28524768752874
S_5697,AM Rahane,2024-02-08,68,1,,92.61138018014857
S_2800,AM Rahane,2024-03-28,56,0,123.41515180429805,72.08280999805922
S_1182,AM Rahane,2024-02-10,58,4,121.34560704070707,75.7708956644097
S_4629,AM Rahane,2024-02-14,20,3,146.46775668284542,83.48300516598778
S_7588,Shoaib Malik,2024-02-02,64,1,144.6359484765068,60.05477868170155
S_9365,MK Tiwary,2024-03-27,49,4,121.21676212634044,90.50592045508807
S_5033,MK Tiwary,2024-03-08,52,3,,64.23587501698175
S_1935,MK Tiwary,2024-03-24,95,1,,86.24477675527632
S_6054,KD Karthik,2024-01-29,93,1,137.96077206957293,77.57537634866954
S_5658,KD Karthik,2024-03-13,58,3,,82.32569824322718
S_2628,R Bhatia,2024-02-07,22,1,,74.77119910446737
S_3282,MF Maharoof,2024-03-05,74,4,,91.8547122873747
S_5669,MF Maharoof,2024-02-18,44,0,,73.55874049840307
S_2130,MF Maharoof,2024-01-18,55,2,,78.9887028986288
S_4259,VY Mahesh,2024-04-07,51,2,,80.27432238371844
S_6160,VY Mahesh,2024-03-03,42,2,131.13517270312883,81.03759583800816
S_5000,TM Srivastava,2024-01-24,58,1,,75.06852684617726
S_4267,TM Srivastava,2024-02-06,75,0,,65.40609115281633
S_4273,TM Srivastava,2024-02-29,37,3,,73.50560760132906
S_2829,TM Srivastava,2024-03-04,88,1,137.40664556355088,79.5890955693279
S_6744,B Chipli,2024-02-19,88,2,124.07367141191811,63.475577096379254
S_8597,B Chipli,2024-03-04,70,1,,65.1471647698306
S_5340,B Chipli,2024-01-30,61,4,131.1119095882592,73.11812487236287
S_7789,DW Steyn,2024-03-08,37,3,122.64605111369612,81.24070695519255
S_6619,DW Steyn,2024-01-17,41,3,134.33635344066727,78.62901359021416
S_9556,DW Steyn,2024-03-26,72,2,130.68556941352782,88.93852408287466
S_8730,DB Das,2024-03-25,65,3,,89.07409786820268
S_4456,MK Pandey,2024-04-01,82,4,,81.91820124973724
S_7652,MK Pandey,2024-01-17,43,1,,85.5786310049133
S_3567,MK Pandey,2024-01-28,24,0,147.20828426504502,64.63303326622403
S_4162,MK Pandey,2024-04-07,30,4,,61.32935471514487
S_7538,HH Gibbs,2024-04-01,24,0,134.00346231693564,61.206144079875
S_1882,HH Gibbs,2024-01-19,45,3,,90.22416328800908
S_8929,DNT Zoysa,2024-04-09,94,0,133.2367114096598,81.20143560986699
S_3808,DNT Zoysa,2024-03-21,70,4,132.22752625721452,88.9631622737206
S_7142,DNT Zoysa,2024-01-04,26,4,,94.86430323738044
S_1115,D Kalyankrishna,2024-02-14,91,2,,68.9616647786734
S_7980,D Kalyankrishna,2024-01-13,66,4,120.57348283289292,76.6895213911236
S_4420,D Kalyankrishna,2024-03-26,62,2,124.03305388224365,70.47884559300884
S_2999,D Kalyankrishna,2024-03-16,85,0,,67.3746737353521
S_8901,SE Marsh,2024-02-16,54,2,,94.81270245459993
S_9733,SA Asnodkar,2024-01-07,86,0,,82.15172157374519
S_6668,SA Asnodkar,2024-01-13,27,4,144.27549513417094,90.9548496425692
S_4175,SA Asnodkar,2024-01-23,28,1,,74.26400608613508
S_9605,SA Asnodkar,2024-04-04,94,2,138.96269488518726,80.19642325616688
S_6409,Sohail Tanvir,2024-02-14,80,2,128.98697033861623,62.69017263466572
S_8913,Sohail Tanvir,2024-01-16,79,1,,74.1005648921423
S_3555,Sohail Tanvir,2024-02-03,58,2,147.8768416089556,74.17859430846482
S_4701,Sohail Tanvir,2024-04-02,72,0,126.57821885771627,61.178421237485544
S_8480,Salman Butt,2024-01-25,50,0,146.0080040505565,75.8881396837925
S_8651,Salman Butt,2024-03-12,73,3,135.78835381014608,76.21104508629696
S_9244,Salman Butt,2024-01-24,98,3,,87.13711526410975
S_7046,BJ Hodge,2024-03-18,53,1,141.65164658151537,69.50414665939348
S_8758,BJ Hodge,2024-02-26,45,1,,84.74417706095007
S_7056,Umar Gul,2024-01-06,88,3,129.4881044918792,63.566233582310474
S_3624,Umar Gul,2024-01-19,28,2,137.1542749082146,91.75199375462178
S_3224,Umar Gul,2024-03-10,75,3,123.48068044044508,61.48021122279384
S_8094,AB Dinda,2024-01-10,66,4,139.99156240734618,93.81166267950371
S_1522,SP Fleming,2024-01-17,87,0,,63.687772278779974
S_8122,SP Fleming,2024-03-23,31,4,,72.60176630653424
S_6423,SP Fleming,2024-01-28,60,2,,67.31089534018074
S_7093,SP Fleming,2024-04-08,90,0,,79.32242776286823
S_5424,S Vidyut,2024-02-07,94,0,142.62069104785147,61.257853622254366
S_4976,S Vidyut,2024-03-28,27,3,129.4688203129005,82.56914114078099
S_4220,S Vidyut,2024-01-28,73,0,128.62228789396738,72.87250957146534
S_8480,S Vidyut,2024-02-18,73,1,122.99600463408535,84.08155553426049
S_4748,JA Morkel,2024-01-24,21,0,,74.47749362215224
S_9578,AB de Villiers,2024-01-17,31,3,,76.24333058087264
S_2401,LPC Silva,2024-02-29,84,3,,69.35384204277584
S_3745,LPC Silva,2024-03-16,46,4,,73.39031132497225
S_3792,LPC Silva,2024-02-03,56,4,,85.86592952257855
S_3566,LPC Silva,2024-02-26,31,2,136.45146108586962,90.77392901962347
S_5552,DB Ravi Teja,2024-02-01,94,0,128.73432743355536,67.24832213618
S_9835,DB Ravi Teja,2024-03-07,48,0,138.0987541714483,76.56903085232194
S_6243,DB Ravi Teja,2024-03-27,63,1,149.70626680762865,68.37055722237851
S_7683,Misbah-ul-Haq,2024-01-22,36,2,138.59203714299267,91.36262891281007
S_8468,Misbah-ul-Haq,2024-03-23,30,4,139.07864121491184,73.58579971444485
S_4483,Misbah-ul-Haq,2024-03-15,84,0,130.1202042305107,85.37434094734184
S_3606,Misbah-ul-Haq,2024-01-31,65,1,147.91820414539612,77.40593561591403
S_3295,YV Takawale,2024-02-23,52,1,,86.63809071083564
S_4644,RR Raje,2024-01-21,65,4,147.8598086104465,86.62990205800735
S_2932,RR Raje,2024-04-04,22,4,,91.41861354372848
S_9811,RR Raje,2024-02-02,94,4,131.75574889227238,83.06898175643343
S_3743,RR Raje,2024-03-04,78,1,126.57352438409815,76.06372177820545
S_8186,PJ Sangwan,2024-03-27,74,1,125.70322949351183,87.74082907009341
S_4642,PJ Sangwan,2024-04-07,36,2,,93.35138785992396
S_6366,Mohammad Asif,2024-01-08,32,1,,85.14159113802015
S_7976,Mohammad Asif,2024-02-12,58,0,,79.77798593584647
S_7236,GD McGrath,2024-03-26,63,0,143.53262574010253,73.1944939674198
S_5009,GD McGrath,2024-02-12,61,3,,78.01392659925037
S_6722,Joginder Sharma,2024-01-22,46,0,,91.31249791521721
S_2196,Joginder Sharma,2024-01-10,28,2,134.8402556877385,77.94520867344198
S_5422,Joginder Sharma,2024-03-07,39,4,,62.01960249455646
S_4674,Joginder Sharma,2024-03-30,97,0,127.53004149786901,79.74259100917313
S_2105,MS Gony,2024-03-08,84,1,146.3206683661578,94.10302835377402
S_4786,MS Gony,2024-02-10,24,1,124.44533784689837,83.7842474496868
S_3780,MS Gony,2024-03-08,88,2,132.82505493984334,71.42184508261956
S_2132,M Muralitharan,2024-02-29,90,1,132.5834398187194,87.31279260524086
S_9275,M Muralitharan,2024-01-15,27,0,,80.78308682833654
S_5570,M Muralitharan,2024-03-08,34,2,132.28236215451054,88.38075033527714
S_4607,M Ntini,2024-01-24,23,2,133.8988095981839,61.58911485140424
S_7771,M Ntini,2024-01-23,88,4,120.00034904266099,74.57980399688023
S_6445,M Ntini,2024-02-26,29,4,,68.06458317410724
S_6810,M Ntini,2024-03-26,66,3,126.72880449855136,83.20665171311978
S_4240,DT Patil,2024-03-09,32,1,,71.38532969080609
S_7680,DT Patil,2024-01-27,70,0,,91.56790688622024
S_4811,DT Patil,2024-02-08,35,4,124.48804348580857,73.3241388406303
S_4273,A Kumble,2024-02-01,78,1,137.51318341542336,93.32776249941581
S_3832,A Kumble,2024-03-08,67,3,123.89824116803824,79.60320941051884
S_3800,A Kumble,2024-03-05,82,0,,94.03469996640362
S_8361,S Anirudha,2024-01-15,58,2,123.66091482965545,64.37938399996115
S_1508,S Anirudha,2024-02-26,53,2,,64.97596563463634
S_5357,S Anirudha,2024-03-24,71,4,141.0350958477078,85.44698665653866
S_3230,MM Patel,2024-03-04,84,0,,65.70623679260568
S_2567,MM Patel,2024-04-05,87,1,,87.37599420819362
S_4490,MM Patel,2024-03-18,77,0,133.1298398444461,68.22406917485834
S_3972,CK Kapugedera,2024-03-23,25,0,136.22203701399312,75.03585802516227
S_2476,CK Kapugedera,2024-01-27,99,4,141.43232290879794,93.33634908407464
S_4663,CK Kapugedera,2024-02-12,93,0,,70.84257507231847
S_4093,A Chopra,2024-02-26,91,2,149.45717094229616,81.97976839114344
S_5595,A Chopra,2024-03-20,91,3,,60.692848042153905
S_1139,A Chopra,2024-01-17,25,0,,90.72945739446922
S_7261,T Taibu,2024-02-28,52,1,,83.99053591276655
S_9058,J Arunkumar,2024-03-06,66,3,143.5458546887664,85.67203612722363
S_7358,PP Ojha,2024-01-19,73,4,,69.72484716313993
S_7481,PP Ojha,2024-03-03,93,0,122.02507640051466,78.15453480332083
S_7160,PP Ojha,2024-03-06,25,1,,74.12603508265569
S_4802,SP Goswami,2024-02-18,95,2,135.50369817384475,85.90564790665121
S_6755,SR Tendulkar,2024-01-24,93,1,122.30938401194899,62.64542648489235
S_7163,SR Tendulkar,2024-03-31,60,3,138.70946334870797,82.69766870415408
S_3849,U Kaul,2024-01-22,86,2,141.1988960963613,81.350259597782
S_5195,U Kaul,2024-02-28,21,4,,64.0973114498459
S_7409,TM Dilshan,2024-02-22,98,2,146.48981474489318,67.09214219473701
S_9801,A Mishra,2024-01-30,44,4,,60.538821209195795
S_1816,A Mishra,2024-01-09,55,2,131.97105952927305,89.39305623325494
S_8071,AD Mascarenhas,2024-02-01,25,0,,85.99887412172107
S_4490,AD Mascarenhas,2024-03-25,44,3,144.51756934100464,77.94542379916216
S_9089,NK Patel,2024-01-19,36,2,127.26066239942631,84.99184531823444
S_9560,NK Patel,2024-01-23,71,0,,69.47822148129404
S_6039,NK Patel,2024-02-03,59,2,,85.64567161751577
S_2184,LA Pomersbach,2024-03-15,35,1,,71.65622051318894
S_2361,LA Pomersbach,2024-02-07,38,3,136.32761898341093,67.0098706253669
S_1869,Iqbal Abdulla,2024-03-05,27,2,132.82486951070277,67.2176091779449
S_8786,Iqbal Abdulla,2024-03-29,58,0,147.4577155475347,90.09383423869465
S_4258,Younis Khan,2024-03-25,21,4,139.13862788054217,89.17750969503854
S_1679,Younis Khan,2024-02-05,56,3,,77.50280413950539
S_8352,PM Sarvesh Kumar,2024-03-17,23,4,,60.99089460409337
S_4278,PM Sarvesh Kumar,2024-01-01,74,2,,82.93108000835183
S_8552,PM Sarvesh Kumar,2024-02-07,48,4,148.2759392256035,86.13718238368013
S_3668,PM Sarvesh Kumar,2024-02-16,54,3,,70.84324063628641
S_3330,DP Vijaykumar,2024-02-25,42,0,,72.38262055577526
S_4927,DP Vijaykumar,2024-01-25,74,4,,72.40487320775692
S_3854,DP Vijaykumar,2024-03-20,80,0,,89.01049466885355
S_8206,DP Vijaykumar,2024-01-22,60,4,145.1372512455541,90.05674977723153
S_7968,Shoaib Akhtar,2024-03-26,92,4,,74.3882763108154
S_7815,Shoaib Akhtar,2024-02-15,42,4,,60.06972473266746
S_5545,Shoaib Akhtar,2024-01-06,37,0,,74.49703239501406
S_8081,Abdur Razzak,2024-03-18,29,3,123.55245117527795,67.41630156540381
S_8178,Abdur Razzak,2024-03-18,58,2,,86.22866584804056
S_6783,Abdur Razzak,2024-03-12,28,0,,78.93167513433283
S_7318,Abdur Razzak,2024-03-05,48,1,,79.1339839284751
S_5188,H Das,2024-02-17,96,0,,92.6594532042908
S_3687,DR Smith,2024-03-28,45,0,,73.71507806158091
S_6126,DR Smith,2024-02-27,68,4,138.34009806649942,90.00581158262943
S_9442,DR Smith,2024-01-03,98,4,140.65894887923628,68.86453342329503
S_4893,SD Chitnis,2024-01-28,92,0,,90.5959738754959
S_7773,CRD Fernando,2024-03-11,97,4,,89.9240906846516
S_5994,VS Yeligati,2024-01-11,72,0,147.05322085638687,67.12154598741586
S_4719,L Balaji,2024-01-22,25,3,,86.0078538870983
S_4406,L Balaji,2024-04-01,76,0,,73.14141249632752
S_3604,L Balaji,2024-03-19,39,4,129.6348645790786,67.70389640666636
